0;123286.0
100;41845.0
200;40990.0
300;40990.0
400;40990.0
500;40990.0
600;40990.0
700;40990.0
800;40990.0
900;40990.0
1000;40990.0
1100;40990.0
1200;40990.0
1300;40990.0
1400;40990.0
1500;40990.0
1600;40990.0
1700;40990.0
1800;40990.0
1900;40990.0
2000;40990.0
2100;40990.0
2200;40990.0
2300;40990.0
2400;40990.0
2500;40990.0
2600;40990.0
2700;40990.0
2800;40990.0
2900;40990.0
3000;40990.0
3100;40990.0
3200;40990.0
3300;40990.0
3400;40990.0
3500;40990.0
3600;40990.0
3700;40990.0
3800;40990.0
3900;40990.0
4000;40990.0
4100;40990.0
4200;40990.0
4300;40990.0
4400;40990.0
