0;136721.0
100;90924.0
200;81308.0
300;68320.0
400;64653.0
500;61607.0
600;55014.0
700;55014.0
800;50126.0
900;48209.0
1000;44719.0
1100;40231.0
1200;40231.0
1300;39989.0
1400;39989.0
1500;39989.0
1600;36859.0
1700;36859.0
1800;36859.0
1900;36859.0
2000;36859.0
2100;36859.0
2200;36859.0
2300;36859.0
2400;36859.0
2500;36859.0
2600;36859.0
2700;36859.0
2800;36859.0
2900;36859.0
3000;36859.0
3100;36859.0
3200;36859.0
3300;36859.0
3400;36859.0
3500;36859.0
3600;36859.0
3700;36859.0
3800;36859.0
3900;36859.0
4000;36859.0
4100;36859.0
4200;36859.0
4300;36859.0
4400;36859.0
