0;139030.0
100;95728.0
200;79122.0
300;74667.0
400;59193.0
500;59015.0
600;56441.0
700;41014.0
800;41014.0
900;40414.0
1000;40414.0
1100;36173.0
1200;36173.0
1300;34813.0
1400;34813.0
1500;34813.0
1600;34813.0
1700;34813.0
1800;34813.0
1900;34813.0
2000;34813.0
2100;34813.0
2200;34813.0
2300;34813.0
2400;34813.0
2500;34813.0
2600;34813.0
2700;34813.0
2800;34813.0
2900;34813.0
3000;34813.0
3100;34813.0
3200;34813.0
3300;34813.0
3400;34813.0
3500;34813.0
3600;34813.0
3700;34813.0
3800;34813.0
3900;34813.0
4000;34813.0
4100;34813.0
4200;34813.0
4300;34813.0
4400;34813.0
